Units,Comic-book Title,Issue,Price,Publisher,Est. units
680,Totally Awesome Hulk,2,$3.99,Marvel,"39,469"
682,Doctor Strange,14,$3.99,Marvel,"39,390"
683,Uncanny Avengers,12,$3.99,Marvel,"39,337"
684,Star Wars Force Awakens Adaptation,5,$3.99,Marvel,"39,329"
685,Spider-Woman,6,$3.99,Marvel,"39,291"
686,All New X-Men,12,$3.99,Marvel,"39,289"
687,Mighty Thor,13,$3.99,Marvel,"39,274"
688,Extraordinary X-Men,14,$3.99,Marvel,"39,265"
689,Deadpool,23,$3.99,Marvel,"39,183"
690,Doctor Strange Last Days of Magic,1,$5.99,Marvel,"39,161"
692,Daredevil,11,$3.99,Marvel,"39,135"
693,Black Panther,9,$3.99,Marvel,"39,123"
695,Extraordinary X-Men Annual,1,$4.99,Marvel,"38,871"
697,Deadpool and Cable Split Second,2,$4.99,Marvel,"38,843"
698,Star Wars Poe Dameron,9,$3.99,Marvel,"38,839"
699,Empress,2,$3.99,Marvel,"38,758"
700,Deadpool Mercs For Money,5,$3.99,Marvel,"38,694"
701,Uncanny X-Men,14,$3.99,Marvel,"38,685"
702,Deadpool,22,$3.99,Marvel,"38,630"
703,Uncanny Avengers,10,$3.99,Marvel,"38,614"
704,Captain America Steve Rogers,8,$3.99,Marvel,"38,610"
705,Jessica Jones,3,$3.99,Marvel,"38,601"
706,All New Wolverine,10,$4.99,Marvel,"38,579"
711,Civil War II Choosing Sides,2,$3.99,Marvel,"38,507"
712,Guardians of the Galaxy,8,$3.99,Marvel,"38,404"
713,Occupy Avengers,1,$3.99,Marvel,"38,400"
714,Kanan,11,$3.99,Marvel,"38,370"
717,All New Wolverine,13,$3.99,Marvel,"38,297"
719,All New Wolverine,8,$3.99,Marvel,"38,242"
720,Deadpool Vs Gambit,4,$3.99,Marvel,"38,173"
721,All New Wolverine,7,$3.99,Marvel,"38,168"
722,Gwenpool,2,$3.99,Marvel,"38,162"
724,Kanan,10,$3.99,Marvel,"38,106"
725,All New Wolverine Annual,1,$4.99,Marvel,"38,106"
727,Star Wars Force Awakens Adaptation,4,$3.99,Marvel,"38,079"
728,Uncanny Avengers,15,$3.99,Marvel,"38,058"
729,Punisher,5,$3.99,Marvel,"38,052"
730,Venom,2,$3.99,Marvel,"38,043"
731,Civil War II X-Men,3,$3.99,Marvel,"37,976"
732,Moon Knight,5,$3.99,Marvel,"37,934"
733,Uncanny Avengers,13,$3.99,Marvel,"37,908"
737,Avengers,2.1,$3.99,Marvel,"37,746"
740,Mighty Thor,14,$3.99,Marvel,"37,624"
741,Empress,3,$3.99,Marvel,"37,529"
744,Uncanny X-Men,16,$3.99,Marvel,"37,234"
745,Ghost Rider,2,$3.99,Marvel,"37,221"
746,All New All Different Avengers,15,$3.99,Marvel,"37,209"
749,Prowler,1,$3.99,Marvel,"37,177"
751,Uncanny X-Men,15,$3.99,Marvel,"36,946"
752,Extraordinary X-Men,15,$3.99,Marvel,"36,941"
753,Jessica Jones,2,$3.99,Marvel,"36,893"
754,Deadpool Back In Black,5,$3.99,Marvel,"36,893"
756,Thunderbolts,2,$3.99,Marvel,"36,865"
760,Kanan,12,$3.99,Marvel,"36,649"
761,Deadpool and Cable Split Second,3,$4.99,Marvel,"36,644"
762,Guardians of Galaxy,10,$3.99,Marvel,"36,614"
763,Deadpool and Mercs For Money,2,$3.99,Marvel,"36,571"
765,Deadpool Too Soon,1,$4.99,Marvel,"36,406"
770,Deadpool Vs Gambit,5,$3.99,Marvel,"36,316"
772,Spider-Gwen,11,$3.99,Marvel,"36,212"
776,Spider-Man,11,$3.99,Marvel,"35,865"
779,Totally Awesome Hulk,3,$3.99,Marvel,"35,709"
780,A-Force,2,$3.99,Marvel,"35,571"
782,Haunted Mansion,1,$3.99,Marvel,"35,513"
783,All New Wolverine,12,$3.99,Marvel,"35,481"
785,All New Wolverine,14,$3.99,Marvel,"35,437"
788,Agents of Shield,1,$3.99,Marvel,"35,382"
789,Daredevil Punisher,2,$4.99,Marvel,"35,374"
790,Uncanny X-Men Annual,1,$4.99,Marvel,"35,354"
791,Punisher,6,$3.99,Marvel,"35,344"
792,Uncanny Inhumans,4,$3.99,Marvel,"35,308"
793,International Iron Man,3,$3.99,Marvel,"35,282"
794,Extraordinary X-Men,17,$3.99,Marvel,"35,276"
799,Thanos,2,$3.99,Marvel,"35,187"
801,Uncanny Inhumans,5,$3.99,Marvel,"35,145"
802,Spider-Gwen,10,$3.99,Marvel,"35,136"
804,Uncanny Inhumans,11,$3.99,Marvel,"35,036"
805,Uncanny Avengers,14,$3.99,Marvel,"34,996"
806,Guardians of Galaxy,11,$3.99,Marvel,"34,914"
808,Vision,3,$3.99,Marvel,"34,807"
810,All New X-Men,13,$3.99,Marvel,"34,687"
812,Ultimates 2,1,$3.99,Marvel,"34,646"
813,Civil War II Choosing Sides,3,$3.99,Marvel,"34,644"
815,Extraordinary X-Men,16,$3.99,Marvel,"34,630"
817,Guardians of Galaxy,9,$3.99,Marvel,"34,542"
820,New Avengers,12,$3.99,Marvel,"34,482"
822,Deadpool Masacre,1,$3.99,Marvel,"34,463"
824,Black Widow,2,$3.99,Marvel,"34,453"
826,Gwenpool,7,$3.99,Marvel,"34,365"
828,Daredevil,12,$3.99,Marvel,"34,297"
829,Daredevil Punisher,3,$4.99,Marvel,"34,269"
830,A-Force,3,$3.99,Marvel,"34,133"
832,Nighthawk,1,$3.99,Marvel,"34,039"
834,Spider-Gwen,12,$3.99,Marvel,"34,004"
835,Infinity Entity,1,$3.99,Marvel,"33,914"
836,Daredevil,13,$3.99,Marvel,"33,910"
838,Moon Knight,7,$3.99,Marvel,"33,866"
839,X-Men 92,2,$3.99,Marvel,"33,862"
841,Gwenpool,0,$4.99,Marvel,"33,797"
844,Civil War II X-Men,4,$3.99,Marvel,"33,653"
846,Punisher,7,$3.99,Marvel,"33,589"
847,Spidey,2,$3.99,Marvel,"33,585"
849,Deadpool Back in Black,4,$3.99,Marvel,"33,457"
850,Star Wars Force Awakens Adaptation,6,$3.99,Marvel,"33,455"
852,Gwenpool Holiday Special Merry Mix Up,0,$5.99,Marvel,"33,240"
853,Gwenpool,4,$3.99,Marvel,"33,174"
856,Silk,3,$3.99,Marvel,"33,102"
857,Slapstick,1,$3.99,Marvel,"33,088"
859,Gwenpool,3,$3.99,Marvel,"33,018"
860,New Avengers,5,$3.99,Marvel,"33,010"
862,Occupy Avengers,2,$3.99,Marvel,"32,974"
863,Mockingbird,2,$3.99,Marvel,"32,965"
870,Uncanny Avengers,16,$3.99,Marvel,"32,854"
874,All New X-Men,14,$3.99,Marvel,"32,629"
875,Totally Awesome Hulk,4,$3.99,Marvel,"32,585"
876,Moon Knight,8,$3.99,Marvel,"32,562"
879,Guardians of Galaxy,12,$3.99,Marvel,"32,373"
880,Ms Marvel,3,$3.99,Marvel,"32,364"
881,New Avengers,13,$3.99,Marvel,"32,337"
883,Captain America Road To War,1,$4.99,Marvel,"32,273"
