Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
404,375,Avengers,37,$3.99,Marvel,"49,861"
406,367,Wolverine,2,$3.99,Marvel,"49,738"
408,366,Deadpool Vs. Carnage,3,$3.99,Marvel,"49,580"
412,642,Ms Marvel,2,$2.99,Marvel,"49,269"
413,386,Elektra,1,$3.99,Marvel,"49,218"
415,187,Thanos Annual,1,$4.99,Marvel,"49,145"
420,410,New Avengers,16.NOW,$3.99,Marvel,"49,094"
424,464,New Warriors,1,$3.99,Marvel,"48,994"
425,197,Daredevil,1.5,$4.99,Marvel,"48,947"
426,190,Death of Wolverine Deadpool and Captain America,1,$4.99,Marvel,"48,936"
427,389,Amazing X-Men,4,$3.99,Marvel,"48,894"
428,390,Storm,1,$3.99,Marvel,"48,883"
432,361,Hawkeye Vs. Deadpool,1,$3.99,Marvel,"48,612"
434,394,Cyclops,1,$3.99,Marvel,"48,585"
436,471,All New X-Factor,1,$3.99,Marvel,"48,512"
439,395,Original Sin,5.2,$3.99,Marvel,"48,403"
440,398,Moon Knight,2,$3.99,Marvel,"48,394"
441,401,X-Men,11,$3.99,Marvel,"48,332"
442,460,X-Force,1,$3.99,Marvel,"48,247"
446,396,Origin II,5,$3.99,Marvel,"48,082"
448,588,Captain Marvel,1,$3.99,Marvel,"48,037"
450,393,Deadpool Vs. Carnage,4,$3.99,Marvel,"48,023"
451,443,Original Sin,3.1,$3.99,Marvel,"47,971"
458,408,Wolverine,9,$3.99,Marvel,"47,545"
459,402,Deadpool,32,$3.99,Marvel,"47,510"
460,404,Deadpool,36,$3.99,Marvel,"47,493"
463,194,Hawkeye Vs. Deadpool,0,$4.99,Marvel,"47,447"
466,413,New Avengers,15,$3.99,Marvel,"47,347"
467,414,Bucky Barnes Winter Soldier,1,$3.99,Marvel,"47,344"
468,798,Loki Agent of Asgard,1,$2.99,Marvel,"47,259"
469,412,Death of Wolverine Logan Legacy,3,$3.99,Marvel,"47,246"
471,420,Avengers,39,$3.99,Marvel,"47,062"
474,213,Uncanny Avengers Annual,1,$4.99,Marvel,"46,744"
475,218,New Avengers,24,$4.99,Marvel,"46,731"
477,418,Deadpool,28,$3.99,Marvel,"46,625"
479,427,New Avengers,26,$3.99,Marvel,"46,565"
481,426,Amazing X-Men,5,$3.99,Marvel,"46,515"
485,425,100th Anniversary Special: Spider-Man,1,$3.99,Marvel,"46,304"
488,227,Avengers,34.1,$4.99,Marvel,"46,114"
490,432,Wolverine,8,$3.99,Marvel,"46,055"
491,438,New Avengers,17,$3.99,Marvel,"46,035"
495,225,Uncanny X-Men Special,1,$4.99,Marvel,"45,893"
496,442,Moon Knight,3,$3.99,Marvel,"45,834"
497,433,Deadpool Vs. X-Force,2,$3.99,Marvel,"45,671"
503,720,Deadpool,26,$2.99,Marvel,"45,266"
505,453,X-Men,12,$3.99,Marvel,"45,102"
507,450,Amazing X-Men,6,$3.99,Marvel,"45,010"
509,446,Savage Hulk,1,$3.99,Marvel,"44,900"
513,456,Spider-Man 2099,3,$3.99,Marvel,"44,625"
516,465,Spider-Woman,2,$3.99,Marvel,"44,618"
517,457,Death of Wolverine Weapon X Program,1,$3.99,Marvel,"44,605"
520,463,Inhuman,2,$3.99,Marvel,"44,527"
522,559,Iron Man,23.NOW,$3.99,Marvel,"44,371"
525,473,Superior Iron Man,2,$3.99,Marvel,"44,124"
526,470,Original Sin,5.3,$3.99,Marvel,"44,103"
529,271,All New X-Men Annual,1,$4.99,Marvel,"44,052"
531,273,Uncanny X-Men Annual,1,$4.99,Marvel,"43,978"
532,475,Hulk,2,$3.99,Marvel,"43,913"
533,467,Deadpools Art of War,1,$3.99,Marvel,"43,906"
534,483,Deathlok,1,$3.99,Marvel,"43,842"
