Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
319,355,New Mutants,3,$3.99,12/11/19,Marvel,"49,991"
320,354,Immortal Hulk,28,$3.99,12/11/19,Marvel,"49,851"
322,263,History of Marvel Universe,1,$4.99,07/24/19,Marvel,"49,676"
324,258,Incredible Hulk Last Call,1,$4.99,06/05/19,Marvel,"49,485"
325,618,Absolute Carnage Scream,2,$3.99,09/04/19,Marvel,"49,462"
327,461,Valkyrie Jane Foster,1,$3.99,07/24/19,Marvel,"49,399"
328,333,Marauders,3,$3.99,12/04/19,Marvel,"49,309"
330,363,Uncanny X-Men,15,$3.99,04/03/19,Marvel,"49,230"
331,230,Fantastic Four,12,$4.99,07/31/19,Marvel,"49,115"
332,366,Avengers,16,$3.99,03/06/19,Marvel,"49,096"
333,346,Black Cat,3,$3.99,08/07/19,Marvel,"49,085"
334,368,Uncanny X-Men,16,$3.99,04/17/19,Marvel,"49,003"
335,371,Avengers,14,$3.99,02/06/19,Marvel,"48,895"
336,373,Avengers,15,$3.99,02/20/19,Marvel,"48,795"
337,374,Avengers,21,$3.99,07/10/19,Marvel,"48,747"
339,386,Immortal Hulk,13,$3.99,03/13/19,Marvel,"48,437"
340,379,Immortal Hulk,11,$3.99,01/02/19,Marvel,"48,419"
344,687,Tony Stark Iron Man,16,$3.99,09/18/19,Marvel,"48,350"
345,511,Spider-Man Velocity,1,$3.99,08/28/19,Marvel,"48,258"
346,392,Thor,13,$3.99,05/29/19,Marvel,"48,130"
348,394,Avengers,25,$3.99,10/23/19,Marvel,"47,935"
350,691,Conan Serpent War,1,$4.99,12/04/19,Marvel,"47,804"
351,400,Fantastic Four,11,$3.99,06/26/19,Marvel,"47,745"
355,367,Uncanny X-Men,21,$3.99,07/03/19,Marvel,"47,669"
356,398,Avengers,17,$3.99,03/20/19,Marvel,"47,608"
358,402,New Mutants,4,$3.99,12/18/19,Marvel,"47,489"
361,407,Excalibur,3,$3.99,12/04/19,Marvel,"47,253"
362,858,Gwenpool Strikes Back,1,$3.99,08/14/19,Marvel,"47,187"
364,409,X-Force,3,$3.99,12/11/19,Marvel,"47,178"
366,214,Web of Venom Funeral Pyre,1,$4.99,07/24/19,Marvel,"47,133"
367,405,Avengers,20,$3.99,06/26/19,Marvel,"47,090"
369,410,Guardians of the Galaxy,2,$3.99,02/20/19,Marvel,"47,042"
373,254,War of Realms Omega,1,$4.99,07/10/19,Marvel,"46,779"
374,389,Absolute Carnage Vs. Deadpool,2,$3.99,09/11/19,Marvel,"46,771"
375,416,Silver Surfer Black,3,$3.99,08/14/19,Marvel,"46,671"
377,415,Uncanny X-Men,9,$3.99,01/09/19,Marvel,"46,509"
378,427,Guardians of the Galaxy,3,$3.99,03/20/19,Marvel,"46,401"
379,411,Guardians of the Galaxy,5,$3.99,05/15/19,Marvel,"46,272"
383,429,Excalibur,4,$3.99,12/18/19,Marvel,"46,022"
384,423,Savage Avengers,5,$3.99,09/04/19,Marvel,"45,967"
385,428,Fantastic Four,13,$3.99,08/14/19,Marvel,"45,945"
387,375,Marauders,4,$3.99,12/18/19,Marvel,"45,641"
389,372,Absolute Carnage Lethal Protectors,1,$3.99,08/28/19,Marvel,"45,488"
390,431,Avengers,24,$3.99,09/25/19,Marvel,"45,452"
391,433,Immortal Hulk,26,$3.99,11/06/19,Marvel,"45,448"
397,447,Thor,9,$3.99,01/09/19,Marvel,"45,099"
398,289,Uncanny X-Men Annual,1,$4.99,01/23/19,Marvel,"45,056"
399,441,Captain America,12,$3.99,07/31/19,Marvel,"45,010"
401,232,Absolute Carnage Symbiote Spider-Man,1,$4.99,09/04/19,Marvel,"45,003"
402,279,Spider-Man Life Story,2,$4.99,04/17/19,Marvel,"44,910"
