Publish Date,Comic-book Title,Price,Publisher,Est. units,Total
2009,Wolverine Origins,2.99,Marvel,46.8,139.932
2009,Daredevil,2.99,Marvel,46.6,139.334
2009,Fantastic Four,2.99,Marvel,46.5,139.035
2009,Dark Reign List Daredevil One Shot,3.99,Marvel,46.2,184.33800000000002
2009,Wolverine Origins,2.99,Marvel,46.1,137.83900000000003
2009,Fall of Hulks Gamma Foh,3.99,Marvel,46.0,183.54000000000002
2009,Wolverine Origins,2.99,Marvel,46.0,137.54000000000002
2009,War of Kings,3.99,Marvel,45.9,183.141
2009,Deadpool,2.99,Marvel,45.9,137.241
2009,Ultimate Comics Spider-Man,3.99,Marvel,45.8,182.742
2009,Fantastic Four,2.99,Marvel,45.8,136.942
2009,Avengers Invaders,2.99,Marvel,45.7,136.64300000000003
2009,New Mutants,2.99,Marvel,45.6,136.34400000000002
2009,Wolverine Origins,2.99,Marvel,45.5,136.04500000000002
2009,Fantastic Four,3.99,Marvel,45.3,180.74699999999999
2009,Avengers Initiative,2.99,Marvel,45.3,135.447
2009,Wolverine Origins,2.99,Marvel,45.2,135.14800000000002
2009,Wolverine Origins,2.99,Marvel,45.0,134.55
2009,Wolverine Origins,2.99,Marvel,44.8,133.952
2009,Deadpool,2.99,Marvel,44.7,133.65300000000002
2009,Avengers Invaders,2.99,Marvel,44.6,133.354
2009,Dark Tower the Fall of Gilead,3.99,Marvel,44.4,177.156
2009,Dark Reign List Hulk One Shot,3.99,Marvel,44.0,175.56
2009,Incredible Hulk,3.99,Marvel,44.0,175.56
2009,War of Kings,3.99,Marvel,43.9,175.161
2009,New Mutants,2.99,Marvel,43.2,129.168
2009,Wolverine Origins,2.99,Marvel,43.2,129.168
2009,X-Force Annual,3.99,Marvel,43.1,171.96900000000002
2009,Dark Reign Sinister Spider-Man,3.99,Marvel,42.8,170.772
2009,Secret Warriors,2.99,Marvel,42.8,127.972
2009,Avengers Initiative,2.99,Marvel,42.8,127.972
2009,Fantastic Four,2.99,Marvel,42.7,127.67300000000002
2009,Daredevil,2.99,Marvel,42.4,126.77600000000001
2009,Secret Warriors,2.99,Marvel,42.3,126.477
2009,War of Kings,3.99,Marvel,42.2,168.37800000000001
2009,Dark X-Men,3.99,Marvel,42.2,168.37800000000001
