Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Unformatted Total,Total
315080324,2008,Marvel Comics Presents,3.99,Marvel,13627.0,54371.73,54.37K
315080325,2008,Clandestine,2.99,Marvel,13513.0,40403.87,40.40K
315080326,2008,Giant Size Avengers/Invaders,3.99,Marvel,12852.0,51279.48,51.28K
315080327,2008,Kick Ass,2.99,Marvel,11380.0,34026.200000000004,34.03K
315080328,2008,Avengers Fairy Tales,2.99,Marvel,9666.0,28901.340000000004,28.90K
315080329,2008,Dead of Night Featuring Man Thing,3.99,Marvel,9203.0,36719.97,36.72K
315080330,2008,Avengers Classic,2.99,Marvel,9104.0,27220.960000000003,27.22K
315080331,2008,Amazing Spider-Man,3.99,Marvel,8314.0,33172.86,33.17K
315080332,2008,Omega Unknown,2.99,Marvel,8300.0,24817.0,24.82K
315080333,2008,Marvel Spotlight Iron Man Movie,2.99,Marvel,8122.0,24284.780000000002,24.28K
315080334,2008,Spider-Man Family,4.99,Marvel,7888.0,39361.12,39.36K
315080335,2008,George R. R. Martins Wild Cards,2.99,Dabel,7710.0,23052.9,23.05K
315080336,2008,Iron Man Hulk Sampler (Bundle of 25),6.25,Marvel,7617.0,47606.25,47.61K
315080337,2008,Friendly Neighborhood Spider-Man,3.99,Marvel,7532.0,30052.68,30.05K
315080338,2008,Avengers Invaders Sketchbook (Bundle of 25),6.25,Marvel,7112.0,44450.0,44.45K
315080339,2008,X-Force,2.99,Marvel,6935.0,20735.65,20.74K
315080340,2008,Ultimates 3,2.99,Marvel,6358.0,19010.420000000002,19.01K
315080341,2008,Lords of Avalon Sod,2.99,Marvel,6159.0,18415.41,18.42K
315080342,2008,Hedge Knight 2 Sworn Sword,2.99,Marvel,6102.0,18244.98,18.24K
315080343,2008,Marvel Adventures Spider-Man,2.99,Marvel,5832.0,17437.68,17.44K
315080344,2008,Soleil Sampler (Bundle of 25),6.25,Marvel,5640.0,35250.0,35.25K
315080345,2008,Marvel Adventures Avengers,2.99,Marvel,5555.0,16609.45,16.61K
315080346,2008,Civil War Chronicles,4.99,Marvel,5348.0,26686.52,26.69K
315080347,2008,Marvel Illustrated Iliad,2.99,Marvel,5256.0,15715.44,15.72K
315080348,2008,Wormwood Calamari Rising,3.99,IDW,5164.0,20604.36,20.60K
315080349,2008,Marvel Adventures Iron Man,2.99,Marvel,4865.0,14546.35,14.55K
315080350,2008,Power Pack Day One,2.99,Marvel,4829.0,14438.710000000001,14.44K
315080351,2008,Wormwood Calamari Rising,3.99,IDW,4815.0,19211.850000000002,19.21K
315080352,2008,Marvel Adventures Hulk,2.99,Marvel,4644.0,13885.560000000001,13.89K
315080353,2008,Marvel Adventures Fantastic Four,2.99,Marvel,4154.0,12420.460000000001,12.42K
315080354,2008,Marvel Illustrated Picture Dorian Gray,2.99,Marvel,3869.0,11568.310000000001,11.57K
315080355,2008,Marvel Illustrated Moby Dick,2.99,Marvel,3713.0,11101.87,11.10K
315080356,2008,Twelve,2.99,Marvel,3464.0,10357.36,10.36K
315080357,2008,Iron Man Poster Book,6.99,Marvel,2966.0,20732.34,20.73K
315080358,2008,Secret Invasion,3.99,Marvel,182390.0,727736.1000000001,727.74K
315080359,2008,New Avengers,2.99,Marvel,109153.0,326367.47000000003,326.37K
315080360,2008,Avengers Invaders,2.99,Marvel,108104.0,323230.96,323.23K
315080361,2008,Invincible Iron Man,2.99,Marvel,105833.0,316440.67000000004,316.44K
315080362,2008,Giant Size Astonishing X-Men,4.99,Marvel,105477.0,526330.23,526.33K
315080363,2008,Mighty Avengers,2.99,Marvel,96862.0,289617.38,289.62K
315080364,2008,Mighty Avengers,2.99,Marvel,95253.0,284806.47000000003,284.81K
315080365,2008,Dark Tower Long Road Home,3.99,Marvel,87605.0,349543.95,349.54K
315080366,2008,Thor,2.99,Marvel,87076.0,260357.24000000002,260.36K
315080367,2008,Uncanny X-Men,2.99,Marvel,82066.0,245377.34000000003,245.38K
315080368,2008,X-Force,2.99,Marvel,80151.0,239651.49000000002,239.65K
315080369,2008,X-Men Legacy,2.99,Marvel,79795.0,238587.05000000002,238.59K
315080370,2008,Captain America,2.99,Marvel,79327.0,237187.73,237.19K
315080371,2008,Amazing Spider-Man,2.99,Marvel,76944.0,230062.56000000003,230.06K
315080372,2008,Amazing Spider-Man,2.99,Marvel,74184.0,221810.16,221.81K
315080373,2008,X-Men Legacy,2.99,Marvel,74011.0,221292.89,221.29K
315080374,2008,Amazing Spider-Man,2.99,Marvel,73991.0,221233.09000000003,221.23K
315080375,2008,Fantastic Four,2.99,Marvel,62718.0,187526.82,187.53K
315080376,2008,Wolverine,2.99,Marvel,62433.0,186674.67,186.67K
315080377,2008,Secret Invasion Fantastic Four,2.99,Marvel,60671.0,181406.29,181.41K
315080378,2008,King Size Hulk,4.99,Marvel,57463.0,286740.37,286.74K
315080379,2008,Avengers Initiative,2.99,Marvel,56801.0,169834.99000000002,169.83K
315080380,2008,X-Men Divided We Stand,3.99,Marvel,56547.0,225622.53,225.62K
315080381,2008,Ultimate Spider-Man,2.99,Marvel,55742.0,166668.58000000002,166.67K
315080382,2008,Marvel 1985,3.99,Marvel,55121.0,219932.79,219.93K
315080383,2008,Cable,2.99,Marvel,54744.0,163684.56,163.68K
315080384,2008,Logan,3.99,Marvel,54612.0,217901.88,217.90K
315080385,2008,Incredible Hercules,2.99,Marvel,52993.0,158449.07,158.45K
315080386,2008,Wolverine Origins,3.99,Marvel,52891.0,211035.09000000003,211.04K
315080387,2008,Young X-Men,2.99,Marvel,51252.0,153243.48,153.24K
315080388,2008,Ultimate X-Men,2.99,Marvel,49765.0,148797.35,148.80K
315080389,2008,X-Factor,2.99,Marvel,48217.0,144168.83000000002,144.17K
315080390,2008,Captain Britain & M.I. 13,2.99,Marvel,43268.0,129371.32,129.37K
315080391,2008,Ms. Marvel,2.99,Marvel,41119.0,122945.81000000001,122.95K
315080392,2008,Daredevil,2.99,Marvel,40407.0,120816.93000000001,120.82K
315080393,2008,Thunderbolts,2.99,Marvel,38319.0,114573.81000000001,114.57K
315080394,2008,Ultimate Fantastic Four,2.99,Marvel,37545.0,112259.55,112.26K
315080395,2008,X-Factor Quick & Dead,2.99,Marvel,37087.0,110890.13,110.89K
315080396,2008,Iron Man Director of Shield,2.99,Marvel,36405.0,108850.95000000001,108.85K
315080397,2008,Guardians of Galaxy,2.99,Marvel,36282.0,108483.18000000001,108.48K
315080398,2008,Giant Size Incredible Hulk,3.99,Marvel,36201.0,144441.99000000002,144.44K
315080399,2008,Iron Man Viva Las Vegas,3.99,Marvel,35142.0,140216.58000000002,140.22K
315080400,2008,Genext,3.99,Marvel,33676.0,134367.24000000002,134.37K
315080401,2008,Wolverine Amazing Immortal Man Bloody Tales,3.99,Marvel,32270.0,128757.3,128.76K
315080402,2008,Punisher,2.99,Marvel,30519.0,91251.81000000001,91.25K
315080403,2008,Immortal Iron Fist,2.99,Marvel,30325.0,90671.75,90.67K
315080404,2008,Punisher War Journal,2.99,Marvel,29898.0,89395.02,89.40K
315080405,2008,Twelve,2.99,Marvel,29867.0,89302.33,89.30K
315080406,2008,Newuniversal Shockfront,2.99,Marvel,28879.0,86348.21,86.35K
315080407,2008,Young Avengers Presents,2.99,Marvel,28788.0,86076.12000000001,86.08K
315080408,2008,Nova,2.99,Marvel,28136.0,84126.64,84.13K
315080409,2008,Thunderbolts Reason In Madness,2.99,Marvel,27627.0,82604.73000000001,82.60K
315080410,2008,New Exiles,2.99,Marvel,27525.0,82299.75,82.30K
315080411,2008,X-Men Origin Colossus,3.99,Marvel,26751.0,106736.49,106.74K
315080412,2008,Moon Knight,2.99,Marvel,26619.0,79590.81000000001,79.59K
315080413,2008,Ghost Rider,2.99,Marvel,25091.0,75022.09000000001,75.02K
315080414,2008,Last Defenders,2.99,Marvel,23380.0,69906.20000000001,69.91K
315080415,2008,Iron Man Legacy of Doom,2.99,Marvel,23370.0,69876.3,69.88K
315080416,2008,Wolverine First Class,2.99,Marvel,22423.0,67044.77,67.04K
315080417,2008,Angel Revelations,3.99,Marvel,22321.0,89060.79000000001,89.06K
315080418,2008,New Warriors,2.99,Marvel,21802.0,65187.98,65.19K
315080419,2008,Black Panther,2.99,Marvel,20835.0,62296.65,62.30K
315080420,2008,She-Hulk 2,2.99,Marvel,20672.0,61809.280000000006,61.81K
315080421,2008,Anita Blake Vampire Hunter Guilty Pleasures,2.99,Marvel,20621.0,61656.79,61.66K
315080422,2008,All New Iron Manual,4.99,Marvel,18289.0,91262.11,91.26K
315080423,2008,Amazing Spider-Girl,2.99,Marvel,15641.0,46766.590000000004,46.77K
315080424,2008,American Dream,2.99,Marvel,15254.0,45609.46000000001,45.61K
315080425,2008,X-Men First Class Vol. 2,2.99,Marvel,14562.0,43540.380000000005,43.54K
315080426,2008,Marvel Comics Presents,3.99,Marvel,13666.0,54527.340000000004,54.53K
315080427,2008,American Dream,2.99,Marvel,13146.0,39306.54,39.31K
315080428,2008,Soleil Sky Doll,5.99,Marvel,12973.0,77708.27,77.71K
315080429,2008,War Is Hell First Flight Phantom Eagle Max,3.99,Marvel,12485.0,49815.15,49.82K
315080430,2008,Clandestine,2.99,Marvel,12220.0,36537.8,36.54K
315080431,2008,Foolkiller,3.99,Marvel,9694.0,38679.060000000005,38.68K
315080432,2008,Kick Ass,2.99,Marvel,8931.0,26703.690000000002,26.70K
315080433,2008,Avengers Classic,3.99,Marvel,8513.0,33966.87,33.97K
315080434,2008,Dead of Night Featuring Man Thing,3.99,Marvel,8503.0,33926.97,33.93K
315080435,2008,Omega Unknown,2.99,Marvel,7892.0,23597.08,23.60K
315080436,2008,Hulk,2.99,Marvel,7678.0,22957.22,22.96K
315080437,2008,Marvel Spotlight Hulk Movie,2.99,Marvel,7678.0,22957.22,22.96K
315080438,2008,X-Force Legacy of Vengeance One Shot,4.99,Marvel,7006.0,34959.94,34.96K
315080439,2008,Franklin Richards Not So Secret Invasion,2.99,Marvel,6762.0,20218.38,20.22K
315080440,2008,Captain Marvel Ms. Marvel Infiltration,4.99,Marvel,5855.0,29216.45,29.22K
315080441,2008,Marvel Adventures Spider-Man,2.99,Marvel,5815.0,17386.850000000002,17.39K
315080442,2008,Lords of Avalon Sod,2.99,Marvel,5550.0,16594.5,16.59K
315080443,2008,Marvel Adventures Avengers,2.99,Marvel,5356.0,16014.44,16.01K
315080444,2008,George R.R. Martin's Wild Cards,2.99,Dabel,5285.0,15802.150000000001,15.80K
315080445,2008,Marvel Illustrated Iliad,2.99,Marvel,5193.0,15527.070000000002,15.53K
315080446,2008,Civil War Chronicles,4.99,Marvel,5051.0,25204.49,25.20K
315080447,2008,Marvel Adventures Iron Man,2.99,Marvel,4908.0,14674.920000000002,14.67K
315080448,2008,Power Pack Day One,2.99,Marvel,4694.0,14035.060000000001,14.04K
315080449,2008,Marvel Adventures Hulk,2.99,Marvel,4684.0,14005.160000000002,14.01K
315080450,2008,Iron Man Legacy of Doom,1.5,Marvel,4318.0,6477.0,6.48K
315080451,2008,Secret Invasion,3.99,Marvel,4185.0,16698.15,16.70K
315080452,2008,Marvel Adventures Fantastic Four,2.99,Marvel,4053.0,12118.470000000001,12.12K
315080453,2008,Marvel Illustrated Picture Dorian Gray,2.99,Marvel,3788.0,11326.12,11.33K
315080454,2008,Marvel Illustrated Moby Dick,2.99,Marvel,3595.0,10749.050000000001,10.75K
315080455,2008,Secret Invasion,3.99,Marvel,175670.0,700923.3,700.92K
315080456,2008,Ultimate Origins,2.99,Marvel,136367.0,407737.33,407.74K
315080457,2008,New Avengers,2.99,Marvel,108454.0,324277.46,324.28K
315080458,2008,Wolverine,2.99,Marvel,97989.0,292987.11000000004,292.99K
315080459,2008,Ultimates 3,2.99,Marvel,95652.0,285999.48000000004,286.00K
315080460,2008,Mighty Avengers,2.99,Marvel,93979.0,280997.21,281.00K
315080461,2008,Hulk,2.99,Marvel,90566.0,270792.34,270.79K
315080462,2008,Avengers Invaders,2.99,Marvel,82981.0,248113.19000000003,248.11K
315080463,2008,Uncanny X-Men,2.99,Marvel,81069.0,242396.31000000003,242.40K
315080464,2008,Captain America,2.99,Marvel,79358.0,237280.42,237.28K
315080465,2008,Dark Tower Long Road Home,3.99,Marvel,79240.0,316167.60000000003,316.17K
315080466,2008,Skaar Son of Hulk,2.99,Marvel,73670.0,220273.30000000002,220.27K
315080467,2008,Amazing Spider-Man,2.99,Marvel,72345.0,216311.55000000002,216.31K
315080468,2008,X-Men Legacy,2.99,Marvel,71866.0,214879.34000000003,214.88K
315080469,2008,Amazing Spider-Man,2.99,Marvel,71382.0,213432.18000000002,213.43K
315080470,2008,Amazing Spider-Man,2.99,Marvel,70766.0,211590.34000000003,211.59K
315080471,2008,Invincible Iron Man,2.99,Marvel,68995.0,206295.05000000002,206.30K
315080472,2008,Avengers Initiative,2.99,Marvel,62213.0,186016.87000000002,186.02K
315080473,2008,Fantastic Four,2.99,Marvel,60980.0,182330.2,182.33K
315080474,2008,Secret Invasion Who Do You Trust,3.99,Marvel,60976.0,243294.24000000002,243.29K
315080475,2008,Ultimate Spider-Man,2.99,Marvel,57166.0,170926.34000000003,170.93K
315080476,2008,Incredible Hercules,2.99,Marvel,52956.0,158338.44,158.34K
315080477,2008,Secret Invasion Fantastic Four,2.99,Marvel,51415.0,153730.85,153.73K
315080478,2008,Kick Ass,2.99,Marvel,50877.0,152122.23,152.12K
315080479,2008,Secret Invasion Runaways Young Avengers,2.99,Marvel,50105.0,149813.95,149.81K
315080480,2008,Cable,2.99,Marvel,49978.0,149434.22,149.43K
315080481,2008,Ultimate X-Men,2.99,Marvel,48119.0,143875.81,143.88K
315080482,2008,Wolverine Origins,2.99,Marvel,48041.0,143642.59,143.64K
315080483,2008,Thor Ages of Thunder Reign of Blood,3.99,Marvel,46559.0,185770.41,185.77K
315080484,2008,Young X-Men,2.99,Marvel,45210.0,135177.90000000002,135.18K
315080485,2008,X-Factor,2.99,Marvel,45087.0,134810.13,134.81K
315080486,2008,X-Force Ain't No Dog,3.99,Marvel,44970.0,179430.30000000002,179.43K
315080487,2008,Ms Marvel,2.99,Marvel,42178.0,126112.22000000002,126.11K
315080488,2008,Eternals,2.99,Marvel,41664.0,124575.36000000002,124.58K
315080489,2008,Marvel 1985,3.99,Marvel,40119.0,160074.81,160.07K
315080490,2008,Daredevil,2.99,Marvel,39542.0,118230.58,118.23K
315080491,2008,Captain Britain & Mi 13,2.99,Marvel,37972.0,113536.28000000001,113.54K
315080492,2008,Thunderbolts,2.99,Marvel,37679.0,112660.21,112.66K
315080493,2008,Ultimate Fantastic Four,2.99,Marvel,35718.0,106796.82,106.80K
315080494,2008,Iron Man Director of Shield,2.99,Marvel,35371.0,105759.29000000001,105.76K
315080495,2008,Guardians of Galaxy,2.99,Marvel,32955.0,98535.45000000001,98.54K
315080496,2008,Wolverine Dangerous Game,3.99,Marvel,31928.0,127392.72,127.39K
315080497,2008,Runaways,2.99,Marvel,31341.0,93709.59000000001,93.71K
315080498,2008,Immortal Iron Fist,2.99,Marvel,29810.0,89131.90000000001,89.13K
315080499,2008,Punisher,2.99,Marvel,29791.0,89075.09000000001,89.08K
315080500,2008,Twelve,2.99,Marvel,29292.0,87583.08,87.58K
315080501,2008,Nova,2.99,Marvel,28881.0,86354.19,86.35K
315080502,2008,Young Avengers Presents,2.99,Marvel,28466.0,85113.34000000001,85.11K
315080503,2008,Punisher War Journal,2.99,Marvel,27277.0,81558.23000000001,81.56K
315080504,2008,Hulk Raging Thunder,3.99,Marvel,26984.0,107666.16,107.67K
315080505,2008,Moon Knight,2.99,Marvel,25810.0,77171.90000000001,77.17K
315080506,2008,New Exiles,2.99,Marvel,25732.0,76938.68000000001,76.94K
315080507,2008,Genext,3.99,Marvel,25336.0,101090.64,101.09K
315080508,2008,Ghost Rider,2.99,Marvel,24485.0,73210.15000000001,73.21K
315080509,2008,Newuniversal Shockfront,2.99,Marvel,23932.0,71556.68000000001,71.56K
315080510,2008,Astonishing X-Men Sketchbook,2.99,Marvel,23385.0,69921.15000000001,69.92K
315080511,2008,Punisher Max Little Black Book,3.99,Marvel,22818.0,91043.82,91.04K
315080512,2008,Iron Man Legacy of Doom,2.99,Marvel,22108.0,66102.92,66.10K
315080513,2008,Last Defenders,2.99,Marvel,21536.0,64392.64000000001,64.39K
315080514,2008,She-Hulk 2,2.99,Marvel,21008.0,62813.920000000006,62.81K
315080515,2008,New Warriors,2.99,Marvel,20984.0,62742.16,62.74K
315080516,2008,Wolverine First Class,2.99,Marvel,20192.0,60374.08,60.37K
315080517,2008,Black Panther,2.99,Marvel,19981.0,59743.19,59.74K
315080518,2008,Anita Blake Vampire Hunter Guilty Pleasures,2.99,Marvel,19859.0,59378.41,59.38K
315080519,2008,Mythos Captain America,3.99,Marvel,19277.0,76915.23000000001,76.92K
315080520,2008,Spider-Man With Great Power,3.99,Marvel,18441.0,73579.59000000001,73.58K
315080521,2008,Criminal 2,3.5,Marvel,15834.0,55419.0,55.42K
315080522,2008,Amazing Spider-Girl,2.99,Marvel,15653.0,46802.47,46.80K
315080523,2008,Angel Revelations,3.99,Marvel,15345.0,61226.55,61.23K
315080524,2008,Invincible Iron Man,2.99,Marvel,14788.0,44216.12,44.22K
315080525,2008,Marvel Spotlight Secret Invasion,2.99,Marvel,14201.0,42460.990000000005,42.46K
315080526,2008,X-Men First Class Vol. 2,2.99,Marvel,14152.0,42314.48,42.31K
315080527,2008,Kick Ass,3.99,Marvel,14089.0,56215.11,56.22K
315080528,2008,Haunt of Horror Lovecraft,3.99,Marvel,13600.0,54264.0,54.26K
315080529,2008,Marvel Comics Presents,3.99,Marvel,12895.0,51451.05,51.45K
315080530,2008,Clandestine,2.99,Marvel,11922.0,35646.780000000006,35.65K
315080531,2008,War Is Hell First Flight Phantom Eagle Max,3.99,Marvel,11761.0,46926.39,46.93K
315080532,2008,American Dream,2.99,Marvel,11536.0,34492.64,34.49K
315080533,2008,Sky Doll,5.99,Marvel,11203.0,67105.97,67.11K
315080534,2008,American Dream,2.99,Marvel,11027.0,32970.73,32.97K
315080535,2008,Secret Invasion,3.99,Marvel,9785.0,39042.15,39.04K
